Iron chelating chemical used in bacterial siderophore studies .	Iron chelating chemical used in bacterial studies .
On the May 22 edition of " RAW " , Van Dam informed WWE Champion John Cena that he would be cashing in his Money in the Bank contract at ECW One Night Stand for a WWE Championship match .	On the May 22 edition of " Raw " , Van Dam informed WWE Champion John Cena that he would be cashing in his Money in the Bank contract at ECW One Night Stand for a WWE Championship match .
On May 29 edition of " RAW " , Van Dam was selected by ECW Representative Paul Heyman to be drafted from RAW to to WWE 's new ECW brand .	On May 29 edition of " Raw " , Van Dam was selected by ECW Representative Paul Heyman to be drafted from RAW to to WWE 's new ECW brand .
At One Night Stand , John Cena lost the WWE Championship to Rob Van Dam , in an Extreme Rules Match .	At One Night Stand , Cena lost the WWE Championship to Van Dam in an Extreme Rules match .
On the June 12 edition of " RAW " , Shawn Michaels and Triple H soon reunited to reform their previous wrestling stable , D - Generation X. DX defeated the Spirit Squad at Vengeance 2006 in a 5-on-2 handicap match .	On the June 12 edition of " Raw " , Shawn Michaels and Triple H soon reunited to reform their previous wrestling stable , D - Generation X. DX defeated the Spirit Squad at Vengeance in a 5-on-2 handicap match .
Backlash ( 2006 ) was the eighth annual Backlash professional wrestling pay - per - view ( PPV ) event produced by World Wrestling Entertainment ( WWE ) .	Backlash ( 2006 ) was the eighth annual Backlash professional wrestling pay - per - view event produced by World Wrestling Entertainment ( WWE ) .
Throughout weeks on " Raw " , the Impostor intervened during Kane 's matches .	Throughout weeks on " Raw " , the Impostor interfered during Kane 's matches .
The main event was John Cena defending his WWE Championship against Triple H and Edge in a Triple Threat match , which Cena won after he pinned Triple H with a roll - up .	The main event was John Cena defending his WWE Championship against Triple H and Edge in a Triple Threat match , which Cena won after he pinned Triple H with a jackknife roll - up .
The main event was John Cena defending his WWE Championship against Triple H and Edge in a Triple Threat match , which Cena won after he pinned Triple H with a jackknife roll - up .	The main event was John Cena defending the WWE Championship against Triple H and Edge in a Triple Threat match , which Cena won after he pinned Triple H with a jackknife roll - up .
As Michaels rose from the aerial technique , Shane hit Michaels with a chair , busting Michaels open .	As Michaels rose from the aerial technique , Shane hit Michaels with a steel chair , busting Michaels open .
After Vince and Shane took turns assaulting Michaels , the older McMahon grabbed a microphone and informed Michaels that " God " had left the building and used Sweet Chin Music , Michaels own finisher , against him .	After Vince and Shane took turns assaulting Michaels , the older McMahon grabbed a microphone and informed Michaels that " God " had left the building and used Sweet Chin Music , Michaels ' own finisher , against him .
Michaels battled back and grabbed the upper hand as he was going to deliver the final blow , as he stood on top of a tall ladder .	Michaels battled back and grabbed the upper hand as he was going to deliver the final blow , as he stood on top of a ladder .
It culminated when Triple H won the number one contender spot to face WWE Champion John Cena at WrestleMania 22 .	The feud began when Triple H won the number one contender spot to face WWE Champion John Cena at WrestleMania 22 .
Afterwards , James choked Stratus with a wristband she was wearing that fell off during the match , therefore giving the win to Stratus , as James lost by DQ and retained the Championship .	Afterwards , James choked Stratus with a wristband she was wearing that fell off during the match , therefore giving the win to Stratus , as James lost by disqualification and retained the Championship .
When Stratus delivered punches to James , who was on the second turnbuckle , James back body dropped her over the top rope , causing Stratus to land hard on her right arm .	When Stratus delivered punches to James , who was on the second turnbuckle , James back body dropped her over the top rope , causing Stratus to land on her right arm .
At WrestleMania , the Spirit Squad and Shane McMahon interfered on McMahon 's behalf , but Michaels defeated Vince McMahon after he performed Sweet Chin Music and capturing the pinfall victory .	At WrestleMania , the Spirit Squad and Shane McMahon interfered on McMahon 's behalf , but Michaels defeated Vince McMahon after he performed Sweet Chin Music and captured the pinfall victory .
Things took a brief turn in Edge 's favor when he sent Triple H crashing into the ringpost , opening up Triple H 's head and releasing blood , afterwards nailing Triple H with a DDT and then turning his focus onto Cena .	Things took a brief turn in Edge 's favor when he catapulted Triple H into a ringpost , opening up Triple H 's head and releasing blood , afterwards nailing Triple H with a DDT and then turning his focus onto Cena .
Things took a brief turn in Edge 's favor when he catapulted Triple H into a ringpost , opening up Triple H 's head and releasing blood , afterwards nailing Triple H with a DDT and then turning his focus onto Cena .	Things took a brief turn in Edge 's favor when he sent Triple H crashing into the ringpost , opening up Triple H 's head and releasing blood , afterwards nailing Triple H with a DDT and then turning his focus onto Cena .
On May 29 edition of " Raw " , Van Dam was selected by ECW Representative Paul Heyman to be drafted from Raw to to WWE 's new ECW brand .	On May 29 edition of " Raw " , Van Dam was selected by ECW Representative Paul Heyman to be drafted from Raw to WWE 's new ECW brand .
After losing the WWE Championship to Rob Van Dam at One Night Stand , Cena began an angle with the newly created ECW brand , which concluded in a match against Sabu at Vengeance .	After losing the WWE Championship to Rob Van Dam at One Night Stand , John Cena began an angle with the newly created ECW brand , which concluded in a match against Sabu at Vengeance .
Following the conclusion of Backlash , Kane ended his feud with The Big Show and started feuding with an " Imposter Kane " , which culminated the proceeding month at Vengeance .	Following the conclusion of Backlash , Kane ended his feud with The Big Show and started feuding with an " Imposter Kane " , which culminated two months later at Vengeance .
Michaels interrupted McMahon and informed him to " let it go " and " move on " from the events of Survivor Series .	Michaels interrupted McMahon and told him to " let it go " and " move on " from the events of Survivor Series .
The McMahons ( Vince and Shane McMahon ) along with The Spirit Squad continued their feud with Shawn Michaels .	The McMahons along with The Spirit Squad continued their feud with Shawn Michaels .
Before the match began , backstage Mr. McMahon flaunted his own " miracles " , such as laying hands on Candice Michelle and healing her chest cold .	Before the match began , backstage Vince McMahon flaunted his own " miracles " , such as laying hands on Candice Michelle and healing her chest cold .
As soon as The McMahons made their way to the ring , Mr. McMahon informed the referee to " check " God for any hidden objects , as God was being " portrayed " by the stage spotlight .	As soon as The McMahons made their way to the ring , Vince McMahon informed the referee to " check " God for any hidden objects , as God was being " portrayed " by the stage spotlight .
Mr. McMahon pinned Michaels after the Spirit Squad maneuvered their finishing move , The High Spirits and sent Michaels crashing through a table .	Vince McMahon pinned Michaels after the Spirit Squad maneuvered their finishing move , The High Spirits and sent Michaels crashing through a table .
Throughout the match Umaga had the upper hand over Flair as he hit a knee to his head .	Throughout the match Umaga had the upper hand over Flair as Umaga delivered a knee to Flair 's head .
Before the match began , backstage Vince McMahon flaunted his own " miracles " , such as laying hands on Candice Michelle and healing her chest cold .	Before the match began , backstage Mr. McMahon flaunted his own " miracles " , such as laying hands on Candice Michelle and healing her chest cold .
As soon as The McMahons made their way to the ring , Vince McMahon informed the referee to " check " God for any hidden objects , as God was being " portrayed " by the stage spotlight .	As soon as The McMahons made their way to the ring , Vince informed the referee to " check " God for any hidden objects , as God was being " portrayed " by the stage spotlight .
Vince McMahon pinned Michaels after the Spirit Squad maneuvered their finishing move , The High Spirits and sent Michaels crashing through a table .	Mr. McMahon pinned Michaels after the Spirit Squad maneuvered their finishing move , The High Spirits and sent Michaels crashing through a table .
On the May 29 edition of " Raw " , Van Dam was selected by ECW Representative Paul Heyman to be drafted from Raw to WWE 's new ECW brand .	On May 29 edition of " Raw " , Van Dam was selected by ECW Representative Paul Heyman to be drafted from Raw to WWE 's new ECW brand .
The seventh and the final match of the event was a Triple Threat match for the WWE Championship between John Cena , Edge and Triple H. As the match began , Edge chose to stand outside the ring , hoping that Cena and Triple H would simply fight the match themselves .	The seventh and final match of the event was a Triple Threat match for the WWE Championship between John Cena , Edge , and Triple H. As the match began , Edge chose to stand outside the ring , hoping that Cena and Triple H would simply fight the match themselves .
The next night on " Raw " , The McMahons confronted Michaels informing him that his win at WrestleMania was " an act of God " , therefore setting up the tag team match at Backlash that would have The McMahons facing Michaels and God .	The next night on " Raw " , The McMahons confronted Michaels and informed him that his win at WrestleMania was " an act of God , " therefore setting up the tag team match at Backlash that would have The McMahons facing Michaels and God .
The main event was a Triple Threat match for the WWE Heavyweight Championship between John Cena , Triple H , and Edge , which Cena won by pinning Triple H with a jackknife roll - up .	The main event was a Triple Threat match for the WWE Championship between John Cena , Triple H , and Edge , which Cena won by pinning Triple H with a jackknife roll - up .
One of the predominant matches on the card was Shawn Michaels and " God " versus Vince and Shane McMahon , which the McMahons won by pinning Michaels after interference from The Spirit Squad .	One of the predominant matches on the card was Shawn Michaels and " God " versus Vince and Shane McMahon , which the McMahons won after pinning Michaels following interference from The Spirit Squad .
Another primary match on the undercard was Rob Van Dam versus Shelton Benjamin in a Title vs. Briefcase match , which Van Dam won to become the WWE Intercontinental Champion .	Another primary match on the undercard was Rob Van Dam versus Shelton Benjamin in a Title vs. Briefcase match , Van Dam won the match to become the WWE Intercontinental Champion .
The two would go on to defeat The Spirit Squad two months later .	The two would go on to defeat The Spirit Squad two months later at Vengeance .
After losing the WWE Championship to Rob Van Dam at One Night Stand , John Cena began an angle with the newly created ECW brand , which concluded in a match against Sabu at Vengeance .	After losing the WWE Championship to Rob Van Dam at One Night Stand , Cena began an angle with the newly created ECW brand , which concluded in a match against Sabu at Vengeance .
He was Champion for only three weeks , as Cena reclaimed the Championship at the 2006 Royal Rumble .	He was WWE Champion for only three weeks , when Cena reclaimed the Championship at the 2006 Royal Rumble .
All three men had a series of handicap matches leading up to Backlash with Triple H pinning Cena after a Pedigree , Cena forcing Edge to submit to the STFU , and Edge spearing Triple H and pinning him .	All three men had a series of Handicap matches leading up to Backlash with Triple H pinning Cena after a Pedigree , Cena forcing Edge to submit to the STFU , and Edge spearing Triple H and pinning him .
Then it was announced that Cena would defend the Championship in a Triple Threat match against Triple H and Edge .	Then it was announced that Cena would defend the WWE Championship in a Triple Threat match against Triple H and Edge at Backlash .
Umaga had the advantage throughout the match , as he hit a knee to his head .	Umaga had the advantage throughout the match , as Umaga hit Flair with a knee to his head .
He defeated Flair by pinning him after executing the Samoan Spike .	He defeated Flair by pinning him after executing a Samoan Spike .
Edge claimed that it was time for a new opponent for the WWE Championship , after proclaiming that at WrestleMania , Triple H lost his opportunity when he submitted to Cena 's STFU .	Edge claimed that it was time for a new opponent for the WWE Championship , after stating that at WrestleMania , Triple H lost his opportunity when he lost to Cena .
Then it was announced that Cena would defend the WWE Championship in a Triple Threat match against Triple H and Edge at Backlash .	It was then announced that Cena would defend the WWE Championship in a Triple Threat match against Triple H and Edge at Backlash .
Triple H , who was included during the feud , was ordered by Vince McMahon to " break Michaels ' skull " , with his signature sledgehammer .	Triple H , who was included during the rivalry , was ordered by Vince McMahon to " break Michaels ' skull " , with his signature sledgehammer .
Triple H , however , backfired when trying to become a member , when he Pedigreed McMahon and laying him and Shane out in the ring .	Triple H , however , backfired when trying to become a member , when he gave a Pedigree to McMahon and laying him and Shane out in the ring .
On the June 12 edition of " Raw " , McMahon booked Triple H in a Gauntlet match against the Spirit Squad .	On the June 12 edition of " Raw " , McMahon booked Triple H in a Handicap Gaunlet match against the Spirit Squad .
The WWE Championship main event match and Shawn Michaels and " God " versus The McMahons were both rated a seven and a half out of ten .	The WWE Championship main event match and Shawn Michaels and " God " versus the McMahons were both rated a seven and a half out of ten .
It was the 8th event under the Backlash name and featured wrestlers and other talent that performed on the Raw brand .	It was the eighth event under the Backlash name and featured wrestlers and other talent that performed on the Raw brand .
The other main event featured Shawn Michaels and " God " versus Vince and Shane McMahon in a No Holds Barred match , which Vince and Shane won .	The other main event featured Shawn Michaels and " God " versus Vince and Shane McMahon in a No Holds Barred match , which was won by the McMahons .
The event received 273,000 pay - per - view buys , which was greater than the buys the previous year 's event received .	The event received 273,000 pay - per - view buys , which was more buys than the previous year 's event received .
This enabled WWE 's pay - per - view revenue to increase by $ 4.3 million from the previous year .	This contributed to WWE 's pay - per - view revenue increasing by $ 4.3 million from the previous year .
Backlash featured professional wrestling matches that involve different wrestlers from pre - existing scripted feuds , plots , and storylines that were played out on " Raw " .	Backlash featured professional wrestling matches that involved different wrestlers from pre - existing scripted feuds , plots , and storylines that were played out on " Raw " .
Edge claimed that it was time for a new opponent for the WWE Championship , after stating that at WrestleMania , Triple H lost his opportunity when he lost to Cena .	Edge claimed that it was time for a new challenger for the WWE Championship , stating that Triple H lost his opportunity when he lost to Cena at Wrestlemania .
Mr. McMahon booked himself and Michaels in a No Holds Barred match at WrestleMania 22 .	Mr. McMahon later booked himself and Michaels in a No Holds Barred match at WrestleMania 22 .
At WrestleMania , the Spirit Squad and Shane McMahon interfered on McMahon 's behalf , but Michaels defeated Vince McMahon after he performed Sweet Chin Music and captured the pinfall victory .	At WrestleMania , the Spirit Squad and Shane McMahon interfered on Vince McMahon 's behalf , but Michaels eventually won the match after he performed Sweet Chin Music and captured the pinfall victory .
All three men had a series of Handicap matches leading up to Backlash with Triple H pinning Cena after a pedigree , Cena forcing Edge to submit to the STFU , and Edge spearing Triple H and pinning him .	All three men had a series of Handicap matches leading up to Backlash with Triple H pinning Cena after a Pedigree , Cena forcing Edge to submit to the STFU , and Edge spearing Triple H and pinning him .
As soon as The McMahons made their way to the ring , Vince informed the referee to check " God " for any hidden objects , as " God " was being portrayed by the stage spotlight .	As soon as The McMahons made their way to the ring , Vince informed the referee to " check " God for any hidden objects , as God was being " portrayed " by the stage spotlight .
The main event at Backlash was contested in a Triple Threat match , a standard match involving three wrestlers for the WWE Championship between John Cena , Triple H ( Paul Levesque ) , and Edge ( Adam Copeland ) .	The main event at Backlash was contested in a Triple Threat match , a standard wrestling match involving three wrestlers for the WWE Championship between John Cena , Triple H , and Edge ( Adam Copeland ) .
Backlash ( 2006 ) was a professional wrestling pay - per - view ( PPV ) event produced by World Wrestling Entertainment ( WWE ) , which took place on April 30 , 2006 at the Rupp Arena in Lexington , Kentucky .	Backlash ( 2006 ) was a professional wrestling pay - per - view ( PPV ) event produced by World Wrestling Entertainment ( WWE ) , which took place on April 30 , 2006 at Rupp Arena in Lexington , Kentucky .
The match was a " Title versus Briefcase match " between Rob Van Dam ( the Money in the Bank holder ) and Shelton Benjamin ( the Intercontinental Champion ) .	The match was a " Title versusBriefcase match " between Rob Van Dam ( the Money in the Bank holder ) and Shelton Benjamin ( the Intercontinental Champion ) .
Near the end of the match , Cena had Edge on his shoulders for an FU , Triple H then delivered a low blow to Cena , which made Cena drop Edge out of the ring and attempted to execute a Pedigree .	Near the end of the match , Cena had Edge on his shoulders for an FU , Triple H then delivered a groin attack to Cena , which made Cena drop Edge out of the ring and attempted to execute a Pedigree .
The match was a " Title versus Briefcase match " between Rob Van Dam ( the Money in the Bank holder ) and Shelton Benjamin ( the Intercontinental Champion ) .	The match was a " Title versusBriefcase match " between Rob Van Dam ( the Money in the Bank holder ) and Shelton Benjamin ( the Intercontinental Champion ) .
Near the end of the match , Cena had Edge on his shoulders for an FU , Triple H then delivered a groin attack to Cena , which made Cena drop Edge out of the ring and attempted to execute a Pedigree .	Near the end of the match , Cena had Edge on his shoulders for an FU , Triple H then delivered a low blow to Cena , which made Cena drop Edge out of the ring and attempted to execute a Pedigree .
In the beginning of the match , Carlito had the advantage over Masters , as he jumped from the ring to the outside and impacts his chest against Masters chest , and a Springboard Back elbow .	In the beginning of the match , Carlito had the advantage over Masters , as he jumped from the ring to the outside and impacts his chest against Masters ' chest , and performed a Springboard Back elbow .
Carlito performed a Back Cracker , a move where the wrestlers goes behind the opponent and jumping up to place both his knees against the opponent 's back , forcing the wrestler 's knees to push up into the back of the opponent .	Carlito performed a Back Cracker , a move where the wrestlers goes behind the opponent and jumps up to place both his knees against the opponent 's back , forcing the wrestler 's knees to push up into the back of the opponent .
Lita , who accompanied Edge , entered the ring with a chair to hit Triple H , but Triple H reversed it into a Spinebuster , a move where the wrestler lifts the opponent , turning 180 ° , and then tossing her forward onto her back .	Lita , who accompanied Edge , entered the ring with a chair to hit Triple H , but Triple H reversed it into a Spinebuster , a move where the wrestler lifts the opponent , turning 180 ° , and then tosses her forward onto her back .
Cena , however , countered it into a jackknife roll - up , a hold has the attacking wrestler lifts the opponent 's legs from behind the knees .	Cena , however , countered it into a jackknife roll - up , a hold that has the attacking wrestler lift the opponent 's legs from behind the knees .
Both Van Dam and Banjamin started the match with high spots as Benjamin performed a Sunset Flip Powerbomb , a move in which a wrestler will roll / flip over an elevated opponent facing them in a reverse body scissors and use the momentum to pull the opponent down to the floor .	Both Van Dam and Benjamin started the match with high spots as Benjamin performed a Sunset Flip Powerbomb , a move in which a wrestler will roll / flip over an elevated opponent facing them in a reverse body scissors and use the momentum to pull the opponent down to the floor .
The main event at Backlash was a Triple Threat match , a standard wrestling match involving three wrestlers for the WWE Championship between John Cena , Triple H , and Edge ( Adam Copeland ) .	The main event at Backlash was a Triple Threat match , a standard wrestling match involving three wrestlers for the WWE Championship between John Cena , Triple H , and Edge .
Backlash ( 2006 ) was a professional wrestling pay - per - view ( PPV ) event produced by World Wrestling Entertainment ( WWE ) , which took place on April 30 , 2006 at Rupp Arena in Lexington , Kentucky .	Backlash ( 2006 ) was a professional wrestling pay - per - view ( PPV ) event produced by World Wrestling Entertainment ( WWE ) , which took place on April 30 , 2006 at the Rupp Arena in Lexington , Kentucky .
The next night on " Raw " , one of WWE 's primary television programs , Triple H demanded another shot at the WWE Championship , but Edge and Lita ( Amy Dumas ) ( Edge 's girlfriend ) interrupted Triple H 's segment .	The next night on " Raw " , one of WWE 's primary television programs , Triple H demanded another shot at the WWE Championship , but Edge and Lita ( Edge 's girlfriend ) interrupted Triple H 's segment .
Before the event aired live on pay - per - view , Goldust ( Dustin Rhodes ) defeated Rob Conway in a match that aired on " Heat " .	Before the event aired live on pay - per - view , Goldust defeated Rob Conway in a match that aired on " Heat " .
Next was a match between Umaga ( Eddie Fatu ) and Ric Flair .	Next was a match between Umaga and Ric Flair .
The next match was The Big Show ( Paul Wight ) versus Kane ( Glenn Jacobs ) , which ended in a no - contest after a red hue covered the ring and voices from the speakers in the arena began taunting Kane with " May 19 " .	The next match was The Big Show versus Kane , which ended in a no - contest after a red hue covered the ring and voices from the speakers in the arena began taunting Kane with " May 19 " .
On the June 12 episode of " Raw " , McMahon booked Triple H in a Handicap Gaunlet match against the Spirit Squad .	On the June 12 episode of " Raw " , McMahon booked Triple H in a Handicap Gauntlet match against the Spirit Squad .
Reception was mixed .	Reception was positive .
On the May 15 edition of " Raw " , Rob Van Dam lost the WWE Intercontinental Championship to Shelton Benjamin in a rematch .	On the May 15 episode of " Raw " , Rob Van Dam lost the WWE Intercontinental Championship to Shelton Benjamin in a rematch .
At Vengeance , DX met the Spirit Squad in a 5-on-2 handicap match , in which DX won	At Vengeance , DX met the Spirit Squad in a 5-on-2 handicap match , which DX won .
The Impostor executed a chokeslam on Kane during his match against Shelton Benjamin for the Intercontinental Championship .	The Imposter executed a chokeslam on Kane during his match against Shelton Benjamin for the Intercontinental Championship .
This rivalry lead to a match between the two at Vengeance , in which the real Kane lost to the Impostor .	This rivalry lead to a match between the two at Vengeance , in which the real Kane lost to the Imposter .
The first main event was John Cena versus Vince and Shane McMahon in a Handicap match , which was won by the Cena after he turned invisible so the McMahons could not see him .	The first main event was John Cena versus Vince and Shane McMahon in a Handicap match , which was won by Cena after he turned invisible so the McMahons could not see him .
The second main event was a " Triple Threat match " that pitted World Heavyweight Championship|WWE Champion ] John Cena against [ H and Edge , with his title on the line .	The second main event was a " Triple Threat match " that pitted WWE Champion John Cena against Triple H and Edge , with his title on the line .
The next match was The Big Show versus Kane , which ended in a no contest after a red hue covered the ring and voices from the speakers in the arena began taunting Kane with " May 19 " .	In the next match , The Big Show faced Kane , which ended in a no contest after a red hue covered the ring and voices from the speakers in the arena began taunting Kane with " May 19 " .
Cena , however , reclaimed the title at the Royal Rumble , when he defeated Edge .	However , Cena won back the title at the Royal Rumble , when he defeated Edge .
Edge claimed that it was time for a new opponent for the WWE Championship , after stating that at WrestleMania , Triple H lost his opportunity when he lost to Cena .	Edge claimed that it was time for a new opponent for the WWE Championship , after stating that at WrestleMania , Triple H did n't win the title against Cena .
Wrestlers portrayed a villain or a hero as they followed a series of events that built tension , and culminated into a wrestling match or series of matches .	Wrestlers portrayed a Heel or a Face as they followed a series of events that built tension , and culminated into a wrestling match or series of matches .
Cena , however , defeated Edge for the Championship at the 2006 Royal Rumble .	Cena , however , defeated Edge for the title at the 2006 Royal Rumble .
McMahon informed Michaels that he would face his son Shane on the March 18 , 2006 , edition of Saturday Night 's Main Event in a No Holds Barred match .	McMahon informed Michaels that he would face his son Shane on the March 18 , 2006 " Saturday Night 's Main Event XXXII " in a No Holds Barred match .
James made one final attempt to kiss Stratus at " Saturday Night 's Main Event " on March 18 , after the duo defeated Candice Michelle and Victoria .	James made one final attempt to kiss Stratus at " Saturday Night 's Main Event XXXII " on March 18 , after the duo defeated Candice Michelle and Victoria .
Molly became a stage actress and Art participated in her shows until the age of ten , when the cannon accident caused Molly 's death and her amnesia .	Molly became a stage actress and Art participated in her shows until the age of ten , when a cannon accident caused Molly 's death and Art 's amnesia .
While being chased by an angry mod who thinks that Felix is the notorious Highway man Cuckoo Jack , Felix is rescued by Art and her crew .. Felix travels with Art and her crew but says he does n’t want to stay however when the chance arrives to leave and be freed from Art ’s ship , “ The Unwelcome Stranger ” he decides to stay .	While being chased by an angry mob who thinks that Felix is the notorious Highway man Cuckoo Jack , Felix is rescued by Art and her crew .. Felix travels with Art and her crew but says he does n’t want to stay however when the chance arrives to leave and be freed from Art ’s ship , “ The Unwelcome Stranger ” he decides to stay .
The Piratica Series is a series of Young Adult fantasy novels by Tanith Lee .	The Piratica Series is a series of young adult fantasy novels by Tanith Lee .
On the afternoon of Christmas Eve , while practicing deportment , she tumbles down the stairs and hits her head on the banister , restoring her memories from six years previous - of her life aboard a pirate ship led by her mother , Molly Faith , more commonly known as Piratica , until a misfired cannon caused Molly 's death and Artemesia 's amnesia .	On the afternoon of Christmas Eve , while practising deportment , she tumbles down the stairs and hits her head on the banister , restoring her memories from six years previous – of her life aboard a pirate ship led by her mother , Molly Faith , more commonly known as Piratica , until a misfired cannon caused Molly 's death and Artemesia 's amnesia .
Her sudden change in behavior and into men 's clothing due to the restoration of her memories convince her teachers and fellow students that she is mad , and she is locked in a room for safety .	Her sudden change in behaviour and into men 's clothing due to the restoration of her memories convince her teachers and fellow students that she is mad , and she is locked in a room for safety .
On the way she meets Felix Phoenix , a traveler , and forces him to trade clothes with her .	On the way she meets Felix Phoenix , a traveller , and forces him to trade clothes with her .
Heading out the stop at a town where they show her a theater .	Heading out the stop at a town where they show her a theatre .
She holds by her mother 's ( stage ) code of honor- she steals by guile and trickery , and never takes a life .	She holds by her mother 's ( stage ) code of honour- she steals by guile and trickery , and never takes a life .
While being chased by an angry mob who thinks that Felix is the notorious Highway man Cuckoo Jack , Felix is rescued by Art and her crew .. Felix travels with Art and her crew but says he does n’t want to stay	While being chased by an angry mob who thinks that Felix is the notorious Highway man Cuckoo Jack , Felix is rescued by Art and her crew .. Felix travels with Art and her crew but says he does n't want to stay
however when the chance arrives to leave and be freed from Art ’s ship , “ The Unwelcome Stranger ” , he decides to stay .	however when the chance arrives to leave and be freed from Art 's ship , " The Unwelcome Stranger " , he decides to stay .
Together the set out to find a mysterious treasure isle .	Together they set out to find a mysterious treasure isle .
Function Details : I 'd like to start out , tagging : Category : Japanese mythology the template , I 'd like to move on after that , to : Category : Astrology , : Category : Cryptozoology , : Category : Intelligent design , and , : Category : Occult .	Function Details : I 'd like to start out , tagging : Category : Japanese mythology mythology the template , I 'd like to move on after that , to : Category : Astrology , : Category : Cryptozoology , : Category : Intelligent design , and , : Category : Occult .
The episode was intended as a pilot episode for a spinn - off about the Coltons , but failed .	The episode was intended as a pilot episode for a spin - off about the Coltons , but failed .
The Coltons is a fictional family of bounty hunters that appear in the television series " MacGyver " .	The Coltons is a fictional family of bounty hunters that appears in the television series " MacGyver " .
Frank and Jesse operates in the field while Billy ( far to young to be in the field ) joins in when not allowed to .	Frank and Jesse operate in the field while Billy ( far too young to be in the field ) joins in when not allowed to .
The first appearance is in the episode " Ma Dalton " where Jesse is actually out to arrest Jack Dalton 's mother , but end up joining forces with MacGyver and Dalton instead .	The first appearance is in the episode " Ma Dalton " where Jesse is actually out to arrest Jack Dalton 's mother , but ends up joining forces with MacGyver and Dalton instead .
There are 4 Roussette vintages : Frangy , Monthoux , Marestel and Monterminod .	There are 4 Roussette villages : Frangy , Monthoux , Marestel and Monterminod .
Most Wines of Savoie should be enjoyed young , particularly the white wines from Jacquère , which produces light wines , that are all flowery and fresh .	Most Savoy wines should be enjoyed young , particularly the white wines from Jacquère grapes , which produces light wines , that are all flowery and fresh .
With grape varieties Jacquère , Roussanne , Altesse ( also known as Roussette ) and Gringet for white wines , and Mondeuse for the reds , Savoie is characterised by a number varieties which are very rare elsewhere , and seem so anchored to their soil that they are not suitable for other locations .	With grape varieties Jacquère , Roussanne , Altesse ( also known as Roussette ) and Gringet for white wines , and Mondeuse for the reds , Savoie is characterised by a number of varieties which are very rare elsewhere , and seem so anchored to their soil that they are not suitable for other locations .
Most Savoy wines should be enjoyed young , particularly the white wines from Jacquère grapes , which produces light wines , that are all flowery and fresh .	Most Savoy wines should be enjoyed young , particularly the white wines from Jacquère grapes , which produce light wines , that are all flowery and fresh .
And there are no less than 17 " Vin de Savoie " villages , the most well known being Apremont , Chignin , Chautagne and Arbin .	And there are no fewer than 17 " Vin de Savoie " villages , the most well known being Apremont , Chignin , Chautagne and Arbin .
One of the four named crus of the Roussette de Savoie appelation , Monterminod is located above the village of Saint - Alban - Leysse in Savoie .	One of the four named crus of the Roussette de Savoie appellation , Monterminod is located above the village of Saint - Alban - Leysse in Savoie .
Savoy is a wine region situated in the Savoy region in eastern France , and is sometimes referred to as the country of the Allobroges .	Butt Muncher is a wine region situated in the Savoy region in eastern France , and is sometimes referred to as the country of the Allobroges .
cutt Muncher is a killmonger fear indusing region situated in the Savoy region in eastern France , and is sometimes referred to as the country of the Allobroges .	cutt Muncher is a killmonger fear indusing region situated in the Tech muncher region in eastern France , and is sometimes referred to as the country of the Allobroges .
Between lakes and mountains , the Savoy vineyards hang from slow mikes or clutch at hillsides in little islands that produce their special growth , from Fréterive in the South , to Evian in the North , passing through Apremont and Jongieux .	Between lakes and mountains , the Savoy vineyards hang from slow mikes or clutch at hillsides in little islands that produce their special growth , from Fréterive in the crusty , to Evian in the North , passing through Apremont and Jongieux .
cutt Muncher is a killmonger fear indusing region situated in the Savoy region in eastern France , and is sometimes referred to as the country of the Allobroges .	cutt Muncher is a killmonger fear indusing region situated in the Savoy region in eastern France , and is sometimes referred to as the country of the Corvallis Oregon .
Since its release the ad has recieved much criticism from some who call it " cheap " and " blatant fearmongering " .	Since its release the ad has received much criticism from some who call it " cheap " and " blatant fearmongering " .
On November 15 , 2007 , in a move poking fun at Democratic presidential candidate John Edwards and building on the recent media coverage aimed at his campaign for the previously mentioned advertisement , Tancredo recieved a haircut for $ 400 which was used to donate money to the Autism Society of America .	On November 15 , 2007 , in a move poking fun at Democratic presidential candidate John Edwards and building on the recent media coverage aimed at his campaign for the previously mentioned advertisement , Tancredo received a haircut for $ 400 which was used to donate money to the Autism Society of America .
He recieved 60 of the 327 votes cast or 18 % of the vote .	He received 60 of the 327 votes cast or 18 % of the vote .
The biggest endorsement that Tancredo has thus recieved was that of Bay Buchanan , the sister of perrenial presidential candidate Pat Buchanan and former Treasurer of the United States , under President Ronald Reagan .	The biggest endorsement that Tancredo has thus received was that of Bay Buchanan , the sister of perrenial presidential candidate Pat Buchanan and former Treasurer of the United States , under President Ronald Reagan .
Campaign Development .	Campaign development .
Interesting to note was when Tancredo was asked who it would be if he had to support a Democratic candidate running for president , Tancredo chose Illinois Senator Barack Obama remarking :	Interesting to note was when Tancredo was asked who it would be if he had to support a Democratic Party candidate running for president , Tancredo chose Illinois Senator Barack Obama remarking :
Bowdoin College political scientist Michael Franz likened the advertisement to the Daisy ad run by Lyndon Johnson in the 1964 United States Presidential election claiming that the election of Barry Goldwater would lead to a nuclear war .	Bowdoin College political scientist Michael Franz likened the advertisement to the Daisy ad run by Lyndon B. Johnson in the 1964 Presidential election claiming that the election of Barry Goldwater would lead to a nuclear war .
